timestamp,Robin_lodging_Dorthy,Robin_education_Zenia,Robin_office_Dina,Robin_education_Derick,Robin_education_Della,Robin_office_Sammie,Robin_office_Gayle,Robin_lodging_Phillip,Robin_lodging_Elmer
2016-02-03 05:00:00,17.5,112.0,32.5,507.5,0.7492,73.5,42.5,50.5,67.4
2016-02-03 06:00:00,18.1,121.75,33.0,509.5,0.7492,89.0,43.25,50.0,76.1
2016-02-03 07:00:00,23.6,136.75,35.0,533.5,0.7492,114.75,44.75,52.0,108.7
2016-02-03 08:00:00,35.1,140.0,33.0,569.0,0.7492,106.75,48.25,58.3,126.2
2016-02-03 09:00:00,32.7,162.25,38.0,645.0,0.7492,119.75,54.5,64.5,120.2
2016-02-03 10:00:00,29.5,174.0,49.5,691.0,0.7492,118.75,67.0,61.5,108.6
2016-02-03 11:00:00,26.0,178.75,54.5,717.5,0.7492,128.5,94.75,64.5,104.9
2016-02-03 12:00:00,31.3,185.5,58.0,729.5,0.7492,122.75,107.75,65.8,128.1
2016-02-03 13:00:00,35.0,188.25,59.5,731.5,0.7492,124.0,115.25,67.1,121.0
2016-02-03 14:00:00,29.8,186.25,59.0,731.5,0.7492,130.75,111.75,79.1,120.4
2016-02-03 15:00:00,28.9,188.5,58.0,733.0,0.7492,138.25,117.75,69.3,128.7
2016-02-03 16:00:00,31.3,186.25,59.0,709.5,0.7492,124.5,119.25,68.3,135.6
2016-02-03 17:00:00,35.8,192.25,57.0,682.0,0.7492,125.25,118.5,68.7,161.5
2016-02-03 18:00:00,44.3,181.0,51.0,639.0,0.7492,124.75,97.5,72.6,180.5
2016-02-03 19:00:00,52.1,164.25,46.0,615.5,0.7492,116.5,81.75,72.9,164.4
2016-02-03 20:00:00,46.6,146.5,44.0,605.0,0.7492,109.0,73.75,74.2,143.0
2016-02-03 21:00:00,43.5,125.75,43.0,588.5,0.7492,86.5,73.5,74.8,132.5
2016-02-03 22:00:00,43.6,119.25,38.5,564.5,0.7492,80.0,72.5,73.8,128.1
2016-02-03 23:00:00,43.8,113.75,34.0,542.5,0.7492,76.75,44.75,71.3,123.3
2016-02-04 00:00:00,34.3,118.75,32.5,535.5,0.7492,52.25,39.75,68.7,112.2
2016-02-04 01:00:00,27.9,112.25,33.0,518.0,0.7492,80.25,41.25,60.6,96.6
2016-02-04 02:00:00,22.9,110.75,32.5,515.0,0.7492,68.75,41.25,62.2,98.2
2016-02-04 03:00:00,18.8,110.75,32.5,515.5,0.7492,66.5,39.0,58.5,85.1
2016-02-04 04:00:00,17.7,109.75,33.5,524.0,0.7492,69.75,39.25,54.1,75.2
2016-02-04 05:00:00,18.2,111.75,33.5,524.5,0.7492,78.75,38.75,50.4,70.2
2016-02-04 06:00:00,18.9,121.75,33.5,534.0,0.7492,78.75,41.25,48.4,83.8
2016-02-04 07:00:00,20.9,136.0,36.5,558.5,0.7492,96.0,43.5,51.0,105.1
2016-02-04 08:00:00,31.8,141.5,34.0,595.5,0.7492,95.5,46.0,57.0,130.5
2016-02-04 09:00:00,37.0,166.75,37.5,661.0,0.7492,102.25,51.0,61.0,121.7
2016-02-04 10:00:00,37.6,186.0,46.5,701.0,0.7492,122.5,66.0,62.6,111.7
2016-02-04 11:00:00,31.8,189.75,49.0,721.5,0.7492,129.0,86.5,64.3,110.7
2016-02-04 12:00:00,31.0,189.0,50.5,728.5,0.7492,133.5,89.0,72.1,113.0
2016-02-04 13:00:00,31.7,187.0,50.0,749.0,0.7492,138.0,95.5,75.5,117.4
2016-02-04 14:00:00,33.7,191.0,52.5,742.0,0.7492,141.5,98.5,67.5,117.9
2016-02-04 15:00:00,30.4,191.0,60.5,759.0,0.7492,139.5,106.5,68.8,113.6
2016-02-04 16:00:00,28.5,188.25,62.5,734.5,0.7492,150.75,110.5,68.6,128.7
2016-02-04 17:00:00,34.2,190.0,59.0,711.5,0.7492,130.0,109.5,73.5,134.4
2016-02-04 18:00:00,41.5,182.0,50.0,668.5,0.7492,128.5,91.25,75.9,156.3
2016-02-04 19:00:00,47.5,167.25,47.0,662.0,0.7492,112.75,76.5,78.8,158.0
2016-02-04 20:00:00,52.3,165.0,44.0,653.5,0.7492,99.25,68.5,79.1,147.4
2016-02-04 21:00:00,42.5,134.75,41.5,607.5,0.7492,86.75,67.75,84.9,135.9
2016-02-04 22:00:00,45.2,129.75,36.5,583.5,0.7492,88.0,67.25,83.5,130.2
2016-02-04 23:00:00,38.5,124.25,32.5,561.0,0.7492,72.25,43.0,74.4,132.7
2016-02-05 00:00:00,33.4,120.5,32.0,544.0,0.7492,56.75,39.5,66.1,117.4
2016-02-05 01:00:00,26.6,117.75,32.0,540.5,0.7492,74.5,39.75,57.9,104.9
2016-02-05 02:00:00,22.2,116.0,31.5,538.0,0.7492,66.25,40.0,54.2,88.0
2016-02-05 03:00:00,20.0,116.0,32.0,545.5,0.7492,70.75,38.25,52.1,77.0
2016-02-05 04:00:00,17.8,114.5,32.5,547.5,0.7492,73.25,39.0,50.4,71.1
2016-02-05 05:00:00,18.0,115.0,32.0,552.5,0.7492,79.0,38.75,47.6,67.0
2016-02-05 06:00:00,18.2,124.75,31.5,558.5,0.7492,94.0,40.25,48.3,75.4
2016-02-05 07:00:00,21.5,141.25,34.5,572.5,0.7492,91.0,42.25,51.4,105.3
2016-02-05 08:00:00,31.2,147.0,32.0,603.0,0.7492,100.25,46.0,54.9,124.8
2016-02-05 09:00:00,34.5,166.0,36.5,658.0,0.7492,104.75,54.5,60.6,125.7
2016-02-05 10:00:00,34.7,178.75,45.0,704.0,0.7492,123.5,63.5,62.1,115.0
2016-02-05 11:00:00,29.0,188.5,49.5,715.0,0.7492,120.0,91.0,59.0,117.1
2016-02-05 12:00:00,34.5,187.5,53.0,766.0,0.7492,128.75,98.75,60.9,109.1
2016-02-05 13:00:00,37.4,187.5,54.0,760.0,0.7492,143.0,101.25,67.4,124.4
2016-02-05 14:00:00,34.4,186.0,56.0,764.0,0.7492,134.0,97.5,69.8,113.2
2016-02-05 15:00:00,24.2,190.25,57.5,765.0,0.7492,129.75,108.0,65.2,109.5
2016-02-05 16:00:00,26.9,189.25,57.5,747.0,0.7492,132.0,110.25,63.1,132.4
2016-02-05 17:00:00,34.3,178.75,54.5,704.0,0.7492,140.75,92.25,70.8,145.4
2016-02-05 18:00:00,38.3,172.75,46.5,671.0,0.7492,116.5,84.5,69.8,171.2
2016-02-05 19:00:00,51.8,166.5,45.0,640.5,0.7492,110.5,78.75,74.9,166.0
2016-02-05 20:00:00,47.4,152.0,43.0,642.0,0.7492,101.75,73.5,73.9,142.6
2016-02-05 21:00:00,45.0,125.0,38.0,637.5,0.7492,93.75,69.25,75.2,127.2
2016-02-05 22:00:00,42.0,126.75,33.5,584.0,0.7492,103.0,66.5,69.3,113.9
2016-02-05 23:00:00,38.2,120.0,33.0,562.5,0.7492,83.25,42.75,64.8,114.6
2016-02-06 00:00:00,34.5,118.0,31.5,529.5,0.7492,49.25,41.5,60.6,99.9
2016-02-06 01:00:00,29.9,117.5,32.5,538.0,0.7492,83.0,39.0,54.2,99.2
2016-02-06 02:00:00,22.1,119.0,32.0,540.0,0.7492,69.75,39.5,52.3,92.9
2016-02-06 03:00:00,19.5,117.25,32.0,536.0,0.7492,73.75,41.5,53.8,85.0
2016-02-06 04:00:00,17.3,117.25,32.0,544.5,0.7492,79.0,42.0,50.8,75.3
2016-02-06 05:00:00,17.0,120.5,32.0,546.0,0.7492,72.25,42.5,48.6,71.1
2016-02-06 06:00:00,17.2,119.5,31.5,552.0,0.7492,83.5,41.5,47.0,68.5
2016-02-06 07:00:00,21.1,128.75,31.5,557.0,0.7492,84.5,42.0,47.8,73.0
2016-02-06 08:00:00,22.5,131.25,32.0,556.5,0.7492,82.0,42.25,48.9,76.3
2016-02-06 09:00:00,26.1,129.25,32.0,564.0,0.7492,83.0,43.0,51.5,84.0
2016-02-06 10:00:00,31.9,131.75,33.5,567.5,0.7492,93.75,44.0,53.1,93.9
2016-02-06 11:00:00,40.8,133.5,34.5,578.5,0.7492,86.0,48.5,58.5,102.0
2016-02-06 12:00:00,46.8,134.0,35.0,583.5,0.7492,96.5,51.5,62.2,118.1
2016-02-06 13:00:00,50.5,135.0,35.5,586.0,0.7492,113.75,57.0,66.4,122.2
2016-02-06 14:00:00,46.4,134.25,36.5,607.5,0.7492,109.25,62.5,66.4,122.1
2016-02-06 15:00:00,42.2,135.0,36.5,615.0,0.7492,112.5,64.5,65.5,117.5
2016-02-06 16:00:00,37.9,138.75,37.0,621.5,0.7492,105.5,64.25,61.8,111.1
2016-02-06 17:00:00,38.8,138.5,36.0,615.0,0.7492,100.5,65.75,68.4,118.4
2016-02-06 18:00:00,48.8,135.5,34.5,591.5,0.7492,96.75,45.0,78.5,148.3
2016-02-06 19:00:00,55.7,121.5,33.5,590.5,0.7492,106.0,40.5,81.8,140.1
2016-02-06 20:00:00,47.3,119.25,32.0,579.0,0.7492,89.5,40.25,71.6,149.6
2016-02-06 21:00:00,42.8,116.5,30.0,571.0,0.7492,88.0,40.5,66.9,137.8
2016-02-06 22:00:00,42.3,115.25,28.5,553.0,0.7492,83.0,41.5,67.1,130.4
2016-02-06 23:00:00,41.9,111.75,30.0,543.0,0.7492,73.25,41.25,66.4,117.0
2016-02-07 00:00:00,34.4,111.5,28.5,528.5,0.7492,59.0,40.25,68.0,117.3
2016-02-07 01:00:00,30.9,112.25,30.5,521.5,0.7492,75.75,39.75,56.9,100.3
2016-02-07 02:00:00,23.7,110.5,30.5,522.5,0.7492,67.5,40.0,55.8,88.5
2016-02-07 03:00:00,20.0,110.0,30.0,525.0,0.7492,68.75,40.75,52.1,83.4
2016-02-07 04:00:00,18.2,111.25,31.0,526.0,0.7492,70.25,41.0,49.8,78.7
2016-02-07 05:00:00,17.1,110.0,30.5,527.0,0.7492,82.25,40.75,46.9,73.6
2016-02-07 06:00:00,17.1,111.25,31.0,534.5,0.7492,71.25,40.75,46.5,71.0
2016-02-07 07:00:00,19.2,128.75,30.0,536.0,0.7492,65.5,42.75,45.7,70.4
2016-02-07 08:00:00,24.5,124.0,29.5,540.5,0.7492,62.25,42.5,46.9,72.9
2016-02-07 09:00:00,29.2,124.75,30.0,541.0,0.7492,72.75,41.75,47.6,85.1
2016-02-07 10:00:00,35.8,121.5,30.0,547.0,0.7492,76.25,42.0,54.1,98.4
2016-02-07 11:00:00,39.6,121.5,29.5,565.0,0.7492,73.5,48.25,53.4,115.6
2016-02-07 12:00:00,53.5,123.75,29.0,569.0,0.7492,85.0,54.0,56.4,115.0
2016-02-07 13:00:00,61.6,133.0,30.0,581.0,0.7492,79.5,59.25,59.9,119.5
2016-02-07 14:00:00,48.0,134.5,33.0,585.5,0.7492,75.25,62.0,62.2,116.8
2016-02-07 15:00:00,37.0,135.5,34.5,588.0,0.7492,88.0,63.75,61.1,118.2
2016-02-07 16:00:00,41.2,134.5,35.5,586.5,0.7492,88.5,67.25,66.3,119.4
2016-02-07 17:00:00,45.7,135.0,37.5,592.0,0.7492,84.5,69.75,63.7,128.1
2016-02-07 18:00:00,52.2,133.0,36.0,590.5,0.7492,85.25,45.25,79.5,137.6
2016-02-07 19:00:00,52.3,119.0,35.0,582.5,0.7492,101.0,43.5,84.3,157.9
2016-02-07 20:00:00,46.7,117.5,31.5,576.5,0.7492,90.25,42.25,78.9,146.4
2016-02-07 21:00:00,44.0,117.5,29.5,566.0,0.7492,85.25,42.5,81.8,135.8
2016-02-07 22:00:00,37.7,114.75,28.5,552.5,0.7492,82.75,40.75,79.7,131.8
2016-02-07 23:00:00,36.9,114.0,29.5,544.5,0.7492,77.25,40.25,76.0,123.9
2016-02-08 00:00:00,33.6,116.25,29.0,525.5,0.7492,63.0,40.5,67.5,115.3
2016-02-08 01:00:00,26.9,113.25,29.0,528.5,0.7492,92.0,40.5,57.3,99.0
2016-02-08 02:00:00,22.8,111.25,29.0,542.0,0.7492,76.75,42.75,54.3,85.5
2016-02-08 03:00:00,18.2,109.75,29.5,512.5,0.7492,85.75,42.5,48.8,82.6
2016-02-08 04:00:00,17.4,109.75,29.5,516.5,0.7492,70.25,41.0,45.8,73.3
2016-02-08 05:00:00,16.8,110.0,29.5,525.0,0.7492,79.5,40.5,44.3,71.1
2016-02-08 06:00:00,17.8,119.25,30.0,536.5,0.7492,103.75,41.0,43.9,75.9
2016-02-08 07:00:00,23.5,139.25,31.5,559.0,0.7492,109.75,45.5,45.0,105.6
2016-02-08 08:00:00,29.7,142.5,31.5,598.5,0.7492,123.25,46.5,53.4,122.8
2016-02-08 09:00:00,27.6,170.0,37.0,650.0,0.7492,117.5,54.25,55.7,122.1
2016-02-08 10:00:00,31.8,181.5,46.0,679.5,0.7492,131.25,70.5,60.2,111.5
2016-02-08 11:00:00,34.4,179.25,52.5,720.0,0.7492,133.25,91.75,60.9,108.4
2016-02-08 12:00:00,38.4,183.75,54.0,731.0,0.7492,138.0,103.5,66.5,119.9
2016-02-08 13:00:00,41.4,181.5,57.0,730.5,0.7492,145.25,107.0,73.9,124.7
2016-02-08 14:00:00,35.5,185.25,55.0,733.0,0.7492,143.25,106.5,75.7,125.0
2016-02-08 15:00:00,31.3,193.75,54.0,739.5,0.7492,138.75,112.5,66.4,115.6
2016-02-08 16:00:00,35.7,196.25,56.5,757.0,0.7492,148.75,118.5,66.5,136.2
2016-02-08 17:00:00,44.2,191.25,58.0,680.5,0.7492,150.0,113.75,70.0,161.2
2016-02-08 18:00:00,49.9,182.5,51.0,673.0,0.7492,133.0,90.5,68.1,179.1
2016-02-08 19:00:00,49.5,165.5,48.0,653.5,0.7492,125.0,78.75,73.6,190.0
2016-02-08 20:00:00,56.1,155.5,44.5,623.5,0.7492,113.5,72.5,82.5,165.7
2016-02-08 21:00:00,47.4,127.25,43.0,623.0,0.7492,94.5,70.5,79.6,154.8
2016-02-08 22:00:00,45.5,120.0,37.5,592.0,0.7492,90.5,70.25,76.3,144.7
2016-02-08 23:00:00,43.9,116.5,29.5,570.0,0.7492,84.75,45.5,70.6,143.4
2016-02-09 00:00:00,38.2,113.5,31.5,533.0,0.7492,51.0,40.75,71.0,118.1
2016-02-09 01:00:00,25.7,112.5,30.5,546.5,0.7492,85.25,41.0,59.0,101.5
2016-02-09 02:00:00,20.4,112.75,30.0,542.0,0.7492,69.75,40.75,54.3,92.5
2016-02-09 03:00:00,17.9,108.5,31.0,540.0,0.7492,68.0,41.25,50.7,83.4
2016-02-09 04:00:00,17.4,110.0,31.0,544.5,0.7492,77.25,41.25,49.9,76.0
2016-02-09 05:00:00,17.1,113.25,31.5,547.5,0.7492,75.25,41.25,47.9,72.0
2016-02-09 06:00:00,18.2,123.75,33.0,548.5,0.7492,87.5,42.25,48.8,87.8
2016-02-09 07:00:00,19.9,143.0,33.5,564.0,0.7492,93.5,46.75,50.4,110.1
2016-02-09 08:00:00,28.4,143.75,33.0,604.0,0.7492,99.25,48.75,57.5,136.0
2016-02-09 09:00:00,36.1,166.25,39.5,661.0,0.7492,95.75,52.5,63.0,132.1
2016-02-09 10:00:00,38.7,179.75,47.5,705.0,0.7492,117.5,72.75,64.9,122.0
2016-02-09 11:00:00,31.1,183.25,54.0,711.0,0.7492,131.0,93.5,62.0,120.0
2016-02-09 12:00:00,34.1,185.5,55.0,728.5,0.7492,132.75,99.0,63.4,124.6
2016-02-09 13:00:00,33.3,185.75,55.0,728.5,0.7492,133.0,106.5,73.9,131.3
2016-02-09 14:00:00,28.0,190.75,55.5,728.0,0.7492,132.5,105.0,73.0,119.9
2016-02-09 15:00:00,26.8,189.25,56.5,737.0,0.7492,133.0,111.0,66.9,109.6
2016-02-09 16:00:00,28.8,196.0,54.0,721.5,0.7492,130.25,109.75,69.2,112.7
2016-02-09 17:00:00,31.7,190.0,51.0,685.0,0.7492,125.75,108.75,69.9,151.1
2016-02-09 18:00:00,48.6,180.75,51.5,660.5,0.7492,118.0,94.25,74.9,164.2
2016-02-09 19:00:00,56.6,165.25,45.5,624.0,0.7492,101.0,82.0,78.8,165.1
2016-02-09 20:00:00,51.0,154.25,42.0,614.0,0.7492,94.5,75.75,78.5,157.4
2016-02-09 21:00:00,47.4,140.5,39.5,593.0,0.7492,79.75,72.5,78.8,139.9
2016-02-09 22:00:00,44.1,124.0,37.5,556.5,0.7492,78.25,68.75,83.0,146.8
2016-02-09 23:00:00,44.7,115.0,36.0,542.0,0.7492,71.75,47.5,82.5,142.6
2016-02-10 00:00:00,38.1,116.0,32.5,518.0,0.7492,53.75,37.75,63.4,114.6
2016-02-10 01:00:00,27.4,116.5,32.5,524.0,0.7492,73.75,40.5,62.9,102.4
2016-02-10 02:00:00,22.1,117.0,31.5,521.0,0.7492,65.25,39.0,60.4,88.5
2016-02-10 03:00:00,19.4,114.5,32.0,516.0,0.7492,63.0,37.75,54.8,79.8
2016-02-10 04:00:00,18.4,111.0,32.5,526.0,0.7492,66.5,37.75,53.4,76.3
2016-02-10 05:00:00,18.3,115.5,32.5,526.5,0.7492,62.25,37.0,51.4,73.5
2016-02-10 06:00:00,19.5,123.5,33.0,529.5,0.7492,86.25,40.5,49.8,84.6
2016-02-10 07:00:00,21.6,142.0,33.5,556.5,0.7492,93.5,42.5,50.6,112.1
2016-02-10 08:00:00,32.8,154.25,33.0,591.0,0.7492,95.25,46.0,56.9,131.3
2016-02-10 09:00:00,35.7,169.25,39.0,653.0,0.7492,109.0,57.75,67.4,131.8
2016-02-10 10:00:00,32.0,180.0,47.0,697.0,0.7492,119.5,78.25,69.2,126.2
2016-02-10 11:00:00,27.8,190.5,55.0,722.5,0.7492,129.75,100.5,70.0,118.5
2016-02-10 12:00:00,29.1,183.25,58.0,727.0,0.7492,126.5,104.75,68.4,112.2
2016-02-10 13:00:00,31.2,183.5,59.0,716.5,0.7492,135.0,105.0,71.6,117.7
2016-02-10 14:00:00,31.8,188.75,58.0,714.0,0.7492,129.75,104.0,73.4,117.5
2016-02-10 15:00:00,31.1,190.75,55.0,717.0,0.7492,142.75,104.0,71.9,123.8
2016-02-10 16:00:00,29.9,188.25,53.5,713.0,0.7492,143.25,105.5,69.3,143.3
2016-02-10 17:00:00,37.3,187.5,50.0,682.5,0.7492,158.0,104.5,65.0,160.5
2016-02-10 18:00:00,47.8,178.25,48.5,638.5,0.7492,149.5,94.0,64.0,184.8
2016-02-10 19:00:00,56.5,165.0,45.5,607.5,0.7492,119.0,78.0,73.8,175.3
2016-02-10 20:00:00,48.1,152.75,44.0,602.0,0.7492,94.75,69.0,78.8,149.7
2016-02-10 21:00:00,47.6,129.25,38.5,590.5,0.7492,89.5,68.5,79.0,132.7
2016-02-10 22:00:00,44.4,121.25,36.5,559.5,0.7492,89.0,64.5,70.9,130.9
2016-02-10 23:00:00,41.5,114.5,34.0,535.5,0.7492,83.25,37.5,62.9,128.4
2016-02-11 00:00:00,33.6,118.0,33.5,513.5,0.7492,48.75,38.0,66.7,116.3
2016-02-11 01:00:00,27.6,114.25,30.5,513.0,0.7492,80.5,37.0,64.6,101.1
2016-02-11 02:00:00,21.9,112.75,30.0,511.5,0.7492,62.75,37.25,53.7,84.5
2016-02-11 03:00:00,18.7,113.0,30.5,512.5,0.7492,70.25,36.25,46.4,83.2
2016-02-11 04:00:00,16.9,112.0,31.5,516.5,0.7492,76.25,36.5,42.1,78.8
2016-02-11 05:00:00,17.1,110.5,30.0,520.0,0.7492,69.25,36.25,39.9,71.6
2016-02-11 06:00:00,16.8,122.0,31.0,511.5,0.7492,78.0,37.75,40.6,79.4
2016-02-11 07:00:00,19.1,142.0,32.5,526.5,0.7492,96.5,40.75,41.6,113.0
2016-02-11 08:00:00,26.3,142.0,34.0,569.0,0.7492,103.5,43.25,52.0,126.3
2016-02-11 09:00:00,32.2,168.0,36.5,632.5,0.7492,110.25,50.25,60.5,130.4
2016-02-11 10:00:00,34.7,177.25,47.5,674.0,0.7492,129.25,69.25,54.0,127.2
2016-02-11 11:00:00,30.8,186.75,54.0,699.0,0.7492,127.0,82.5,58.1,124.5
2016-02-11 12:00:00,29.4,193.25,55.5,717.0,0.7492,124.5,92.25,65.6,127.4
2016-02-11 13:00:00,31.7,197.0,56.5,706.5,0.7492,130.0,92.25,66.5,124.2
2016-02-11 14:00:00,29.2,191.75,56.5,702.0,0.7492,133.5,89.5,68.0,117.1
2016-02-11 15:00:00,24.1,186.0,56.5,715.5,0.7492,129.25,96.75,64.3,104.5
2016-02-11 16:00:00,25.1,188.25,57.5,713.5,0.7492,133.25,103.0,65.4,121.3
2016-02-11 17:00:00,29.8,180.75,54.0,672.5,0.7492,142.25,104.0,66.0,140.7
2016-02-11 18:00:00,42.3,186.0,47.0,644.5,0.7492,135.75,91.0,70.4,156.3
2016-02-11 19:00:00,55.8,170.75,47.0,617.5,0.7492,120.0,78.0,76.8,152.3
2016-02-11 20:00:00,46.0,153.25,44.0,603.0,0.7492,110.75,70.75,83.6,136.4
2016-02-11 21:00:00,43.8,127.0,43.0,581.0,0.7492,89.5,69.25,81.2,140.3
2016-02-11 22:00:00,42.2,123.75,40.5,551.5,0.7492,74.5,68.75,76.7,127.3
2016-02-11 23:00:00,40.9,120.25,37.0,522.0,0.7492,64.0,43.5,68.7,120.1
2016-02-12 00:00:00,35.8,113.25,31.0,516.5,0.7492,43.25,39.5,65.4,113.3
2016-02-12 01:00:00,25.7,117.5,31.0,513.5,0.7492,65.0,37.25,59.6,99.8
2016-02-12 02:00:00,20.7,114.5,31.0,515.5,0.7492,72.5,42.25,52.9,87.8
2016-02-12 03:00:00,18.0,112.75,30.5,517.0,0.7492,63.5,39.5,50.2,78.8
2016-02-12 04:00:00,17.5,112.25,31.0,517.0,0.7492,60.5,36.5,53.0,74.5
2016-02-12 05:00:00,16.8,113.5,29.5,525.5,0.7492,62.0,35.0,50.8,70.8
2016-02-12 06:00:00,17.5,122.25,31.5,526.5,0.7492,81.75,37.0,48.2,76.5
2016-02-12 07:00:00,21.3,146.0,33.0,548.5,0.7492,95.25,40.5,49.2,109.8
2016-02-12 08:00:00,27.9,141.5,34.0,584.0,0.7492,97.5,42.5,54.4,131.0
2016-02-12 09:00:00,30.5,165.75,38.5,641.0,0.7492,104.5,52.25,58.6,134.0
2016-02-12 10:00:00,30.9,173.25,43.5,693.0,0.7492,108.5,68.0,62.0,121.7
